Ensemble,best_train_rmse,best_train_r2,best_train_mae,best_val_rmse,best_val_r2,best_val_mae
1,0.4685983814752003,0.9476712104889384,0.3431348022285816,0.8475202730345377,0.8190763576733673,0.6776258054673672
2,0.24135807760046663,0.9857939519940936,0.17822318982972507,0.8897733949795852,0.8192030296448712,0.6817400724164077
3,0.22385970412036757,0.9882879317691882,0.1626673070276733,0.9525006558106529,0.7831785016907516,0.7240351869421345
4,0.1983128453122451,0.9906406416217797,0.14858778990580973,0.9208800740610034,0.7853450726107282,0.7152133485121387
5,0.17317299337310815,0.9929780550214797,0.12158869870890557,0.9316889985585309,0.7956180099252183,0.7102725487053395
6,0.13755290234175013,0.9954973773859083,0.09663004225439732,0.935289892008407,0.801156667438542,0.7060458223564285
7,0.17775974577459444,0.992649841895211,0.1331235292000053,0.9295447870618171,0.8044987523798871,0.7181425679879528
8,0.1687724539710095,0.9930688436113086,0.11954594145939412,0.9428698294973491,0.7816155585181324,0.7104222994531904
9,0.12481939296618065,0.9962335025761946,0.08831721727193984,0.9335321597670452,0.7937936365131754,0.7012318976521491
10,0.13952787908928335,0.9953126347880359,0.09812543780930275,0.8949393530572821,0.8112427552400666,0.687470273401056
